㹾 piǎo (jiào)
㹿 zhuó (zhào)
㺀 hū (náo)
㺂 yán (gǎn)
㺄 yǔ (yú)
㺐 lǎo (sāo)
㺑 shān (shàn)|(sāo)|(shǎn)
㺒 xiāo (nǎo)|(qiāo)|(xiào)
㺔 hài (huī)
㺕 fán (biàn)
㺩 jiù (qiú)
㻞 bīn (bān)
㻡 xuē (dié)
㻽 suì (xuán)
㼋 gū (rǔ)
㼞 pèng (bèng)
㼥 tǒu (kǎo)
㼩 chéng (shèng)
㼫 huàn (huà)
㼮 chāi (qì)
㼱 ruǎn (jùn)
㼷 chuán (zhuān)
㼹 kāng (huāng)
㼽 chuǎng (shuǎng)
㼿 tóng (zhòng)
㽎 tán (xīn)
㽛 gōu (qú)
㽬 fù (pì)
㽱 jiǎo (jiū)|(niú)
㽲 jiǎo (xiǔ)
㽹 fǎn (fàn)
㾀 qiè (qǔ)
㾄 dú (chóu)
㾊 jí (cì)|(sè)
㾋 xiū (xiù)
㾎 yā (xiā)
㾏 jiè (yá)
㾑 dá (hè)|(da)
㾒 rú (rù)
㾙 xìn (xì)
㾦 pèi (pēi)
㾧 kuò (luǒ)
㾨 yī (qǐ)|(ǎi)
㾯 huī (tuí)
㾹 chái (zhài)|(chí)
㾻 zhù (chú)
㾽 zhuì (tuí)
㾾 xiān (lián)
㿃 zhì (dài)
㿇 xí (xì)
㿎 fèn (fén)
㿒 dǎo (zhòu)|(chóu)
㿖 lú (lù)
㿭 chè (lè)
㿰 áo (bì)
㿷 cuó (cāo)
㿸 wǎn (mán)
䀏 xuàn (xún)
䀗 jué (xuè)
䀘 xié (jī)
䀛 mèi (wù)|(mà)
䀡 chàn (diān)|(tàn)
䀣 bì (mà)
䀨 huà (guā)
䀫 jiá (tǔn)
䀴 yǐng (yà)|(kēng)
䀶 liàng (lǎng)
䀹 jié (zhǎ)|(shè)|(jiá)|(yà)
䀺 chōu (tāo)
䀼 chēn (rèn)
䁅 měng (mèng)
䁋 xiè (zhé)
䁍 qià (kān)
䁎 chéng (tíng)|(chēng)
䁐 yīng (yìng)
䁒 jí (zí)
䁓 zōng (zǒng)|(jiè)
䁔 xuān (hàn)
䁚 sǔn (qióng)
䁜 huàng (huǎng)
䁝 yíng (yǐng)
䁤 chè (zhé)|(huǐ)
䁫 hú (méng)
䁯 xī (xié)
䁴 zhǎn (shǎn)
䁵 biǎn (huán)
䁶 jī (jiǎo)
䁷 jué (wù)
䁸 náng (nǒng)
䁺 shì (yì)
䁻 shuò (lì)
䂎 zuǎn (cuān)
䂦 zhēn (zhěn)
䂩 yàn (qìng)
䂪 qiǎo (diào)
䂳 cuǒ (chǎ)
䂺 wǒ (kē)
䃌 zhēn (yīn)
䃎 zhà (zhǎ)
䃑 bān (pán)
䃓 gòu (gōu)
䃔 hóng (qióng)
䃕 láo (luò)
䃗 bō (zhuó)
䃚 cù (zú)
䃡 jīn (qín)
䃬 wěi (kuǐ)|(lěi)
䃳 là (liè)
䃶 huái (guī)|(guài)
䃸 xiàn (jīn)
䃽 guǐ (zhī)|(fú)
䄆 huó (huàn)
䄈 dòu (xiáng)
䄋 yǎn (yàn)
䄌 zhuì (chuò)
䄜 lí (chī)
䄤 lài (lǎn)
䄶 bì (bó)
䄺 zhì (tí)
